timestamp,date,version,fees_usd
1640304000,2021-12-24,Frax Swap,20.0
1640390400,2021-12-25,Frax Swap,69.0
1640563200,2021-12-27,Frax Swap,205.0
1640649600,2021-12-28,Frax Swap,460.0
1640736000,2021-12-29,Frax Swap,555.0
1640822400,2021-12-30,Frax Swap,999.0
1640908800,2021-12-31,Frax Swap,549.0
1640995200,2022-01-01,Frax Swap,462.0
1641081600,2022-01-02,Frax Swap,355.0
1641168000,2022-01-03,Frax Swap,380.0
1641254400,2022-01-04,Frax Swap,603.0
1641340800,2022-01-05,Frax Swap,612.0
1641427200,2022-01-06,Frax Swap,446.0
1641513600,2022-01-07,Frax Swap,312.0
1641600000,2022-01-08,Frax Swap,519.0
1641686400,2022-01-09,Frax Swap,264.0
1641772800,2022-01-10,Frax Swap,389.0
1641859200,2022-01-11,Frax Swap,392.0
1641945600,2022-01-12,Frax Swap,783.0
1642032000,2022-01-13,Frax Swap,386.0
1642118400,2022-01-14,Frax Swap,566.0
1642204800,2022-01-15,Frax Swap,360.0
1642291200,2022-01-16,Frax Swap,325.0
1642377600,2022-01-17,Frax Swap,877.0
1642464000,2022-01-18,Frax Swap,669.0
1642550400,2022-01-19,Frax Swap,462.0
1642636800,2022-01-20,Frax Swap,956.0
1642723200,2022-01-21,Frax Swap,1148.0
1642809600,2022-01-22,Frax Swap,655.0
1642896000,2022-01-23,Frax Swap,369.0
1642982400,2022-01-24,Frax Swap,700.0
1643068800,2022-01-25,Frax Swap,297.0
1643155200,2022-01-26,Frax Swap,513.0
1643241600,2022-01-27,Frax Swap,445.0
1643328000,2022-01-28,Frax Swap,447.0
1643414400,2022-01-29,Frax Swap,280.0
1643500800,2022-01-30,Frax Swap,195.0
1643587200,2022-01-31,Frax Swap,205.0
1643673600,2022-02-01,Frax Swap,294.0
1643760000,2022-02-02,Frax Swap,390.0
1643846400,2022-02-03,Frax Swap,379.0
1643932800,2022-02-04,Frax Swap,609.0
1644019200,2022-02-05,Frax Swap,260.0
1644105600,2022-02-06,Frax Swap,457.0
1644192000,2022-02-07,Frax Swap,452.0
1644278400,2022-02-08,Frax Swap,419.0
1644364800,2022-02-09,Frax Swap,495.0
1644451200,2022-02-10,Frax Swap,656.0
1644537600,2022-02-11,Frax Swap,380.0
1644624000,2022-02-12,Frax Swap,528.0
1644710400,2022-02-13,Frax Swap,505.0
1644796800,2022-02-14,Frax Swap,427.0
1644883200,2022-02-15,Frax Swap,545.0
1644969600,2022-02-16,Frax Swap,584.0
1645056000,2022-02-17,Frax Swap,470.0
1645142400,2022-02-18,Frax Swap,407.0
1645228800,2022-02-19,Frax Swap,542.0
1645315200,2022-02-20,Frax Swap,981.0
1645401600,2022-02-21,Frax Swap,859.0
1645488000,2022-02-22,Frax Swap,455.0
1645574400,2022-02-23,Frax Swap,780.0
1645660800,2022-02-24,Frax Swap,1010.0
1645747200,2022-02-25,Frax Swap,645.0
1645833600,2022-02-26,Frax Swap,1194.0
1645920000,2022-02-27,Frax Swap,502.0
1646006400,2022-02-28,Frax Swap,384.0
1646092800,2022-03-01,Frax Swap,278.0
1646179200,2022-03-02,Frax Swap,498.0
1646265600,2022-03-03,Frax Swap,523.0
1646352000,2022-03-04,Frax Swap,395.0
1646438400,2022-03-05,Frax Swap,217.0
1646524800,2022-03-06,Frax Swap,308.0
1646611200,2022-03-07,Frax Swap,280.0
1646697600,2022-03-08,Frax Swap,196.0
1646784000,2022-03-09,Frax Swap,384.0
1646870400,2022-03-10,Frax Swap,414.0
1646956800,2022-03-11,Frax Swap,244.0
1647043200,2022-03-12,Frax Swap,455.0
1647129600,2022-03-13,Frax Swap,424.0
1647216000,2022-03-14,Frax Swap,146.0
1647302400,2022-03-15,Frax Swap,374.0
1647388800,2022-03-16,Frax Swap,191.0
1647475200,2022-03-17,Frax Swap,111.0
1647561600,2022-03-18,Frax Swap,107.0
1647648000,2022-03-19,Frax Swap,566.0
1647734400,2022-03-20,Frax Swap,368.0
1647820800,2022-03-21,Frax Swap,184.0
1647907200,2022-03-22,Frax Swap,155.0
1647993600,2022-03-23,Frax Swap,136.0
1648080000,2022-03-24,Frax Swap,160.0
1648166400,2022-03-25,Frax Swap,143.0
1648252800,2022-03-26,Frax Swap,249.0
1648339200,2022-03-27,Frax Swap,217.0
1648425600,2022-03-28,Frax Swap,266.0
1648512000,2022-03-29,Frax Swap,276.0
1648598400,2022-03-30,Frax Swap,192.0
1648684800,2022-03-31,Frax Swap,197.0
1648771200,2022-04-01,Frax Swap,205.0
1648857600,2022-04-02,Frax Swap,1344.0
1648944000,2022-04-03,Frax Swap,562.0
1649030400,2022-04-04,Frax Swap,512.0
1649116800,2022-04-05,Frax Swap,629.0
1649203200,2022-04-06,Frax Swap,206.0
1649289600,2022-04-07,Frax Swap,309.0
1649376000,2022-04-08,Frax Swap,181.0
1649462400,2022-04-09,Frax Swap,154.0
1649548800,2022-04-10,Frax Swap,189.0
1649635200,2022-04-11,Frax Swap,215.0
1649721600,2022-04-12,Frax Swap,89.0
1649808000,2022-04-13,Frax Swap,167.0
1649894400,2022-04-14,Frax Swap,97.0
1649980800,2022-04-15,Frax Swap,95.0
1650067200,2022-04-16,Frax Swap,226.0
1650153600,2022-04-17,Frax Swap,93.0
1650240000,2022-04-18,Frax Swap,182.0
1650326400,2022-04-19,Frax Swap,131.0
1650412800,2022-04-20,Frax Swap,219.0
1650499200,2022-04-21,Frax Swap,141.0
1650585600,2022-04-22,Frax Swap,131.0
1650672000,2022-04-23,Frax Swap,50.0
1650758400,2022-04-24,Frax Swap,127.0
1650844800,2022-04-25,Frax Swap,147.0
1650931200,2022-04-26,Frax Swap,136.0
1651017600,2022-04-27,Frax Swap,248.0
1651104000,2022-04-28,Frax Swap,126.0
1651190400,2022-04-29,Frax Swap,255.0
1651276800,2022-04-30,Frax Swap,365.0
1651363200,2022-05-01,Frax Swap,218.0
1651449600,2022-05-02,Frax Swap,114.0
1651536000,2022-05-03,Frax Swap,174.0
1651622400,2022-05-04,Frax Swap,198.0
1651708800,2022-05-05,Frax Swap,246.0
1651795200,2022-05-06,Frax Swap,115.0
1651881600,2022-05-07,Frax Swap,253.0
1651968000,2022-05-08,Frax Swap,117.0
1652054400,2022-05-09,Frax Swap,663.0
1652140800,2022-05-10,Frax Swap,547.0
1652227200,2022-05-11,Frax Swap,1210.0
1652313600,2022-05-12,Frax Swap,2208.0
1652400000,2022-05-13,Frax Swap,330.0
1652486400,2022-05-14,Frax Swap,326.0
1652572800,2022-05-15,Frax Swap,167.0
1652659200,2022-05-16,Frax Swap,1717.0
1652745600,2022-05-17,Frax Swap,17932.0
1652832000,2022-05-18,Frax Swap,7085.0
1652918400,2022-05-19,Frax Swap,10304.0
1653004800,2022-05-20,Frax Swap,21327.0
