EX,Pair,Price,Volume
Binance         | FXS/USDT   | Price: $1.322 | Vol: $594,860
Trubit          | FXS/USDT   | Price: $1.323 | Vol: $573,764
HTX             | FXS/USDT   | Price: $1.323 | Vol: $479,034
Hotcoin         | FXS/USDT   | Price: $1.321 | Vol: $450,437
Phemex          | FXS/USDT   | Price: $1.318 | Vol: $393,308
CoinUp.io       | FXS/USDT   | Price: $1.324 | Vol: $387,964
GroveX          | FXS/USDT   | Price: $1.322 | Vol: $332,414
Deepcoin        | FXS/USDT   | Price: $1.322 | Vol: $277,270
Biconomy.com    | FXS/USDT   | Price: $1.321 | Vol: $268,665
WhiteBIT        | FXS/USDT   | Price: $1.321 | Vol: $263,487
MEXC            | FXS/USDT   | Price: $1.319 | Vol: $202,774
Tapbit          | FXS/USDT   | Price: $1.320 | Vol: $185,045
Fraxswap (Ethereum) | 0X3432B6A60D23CA0DFCA7761B7AB56459D9C964D0/0X853D955ACEF822DB058EB8505911ED77F175B99E | Price: $1.330 | Vol: $151,722
BVOX            | FXS/USDT   | Price: $1.322 | Vol: $149,038
BTCC            | FXS/USDT   | Price: $1.322 | Vol: $127,588
LBank           | FXS/USDT   | Price: $1.321 | Vol: $117,718
BloFin          | FXS/USDT   | Price: $1.320 | Vol: $110,606
KCEX            | FXS/USDT   | Price: $1.320 | Vol: $108,626
AscendEX (BitMax) | FXS/USDT   | Price: $1.326 | Vol: $108,427
BYDFi           | FXS/USDT   | Price: $1.321 | Vol: $108,145
