week_start,proposal_count_weekly
2021-02-08,1
2021-02-15,1
2021-02-22,0
2021-03-01,0
2021-03-08,0
2021-03-15,0
2021-03-22,0
2021-03-29,0
2021-04-05,0
2021-04-12,2
2021-04-19,0
2021-04-26,0
2021-05-03,3
2021-05-10,1
2021-05-17,0
2021-05-24,0
2021-05-31,6
2021-06-07,2
2021-06-14,0
2021-06-21,1
2021-06-28,0
2021-07-05,3
2021-07-12,0
2021-07-19,0
2021-07-26,1
2021-08-02,0
2021-08-09,2
2021-08-16,3
2021-08-23,1
2021-08-30,0
2021-09-06,2
2021-09-13,3
2021-09-20,2
2021-09-27,2
2021-10-04,1
2021-10-11,3
2021-10-18,4
2021-10-25,3
2021-11-01,1
2021-11-08,2
2021-11-15,5
2021-11-22,5
2021-11-29,2
2021-12-06,3
2021-12-13,2
2021-12-20,8
2021-12-27,4
2022-01-03,2
2022-01-10,4
2022-01-17,2
2022-01-24,5
2022-01-31,1
2022-02-07,2
2022-02-14,3
2022-02-21,4
2022-02-28,2
2022-03-07,2
2022-03-14,3
2022-03-21,1
2022-03-28,0
2022-04-04,1
2022-04-11,7
2022-04-18,3
2022-04-25,3
2022-05-02,4
2022-05-09,5
2022-05-16,3
2022-05-23,1
2022-05-30,1
2022-06-06,1
2022-06-13,8
2022-06-20,3
2022-06-27,3
2022-07-04,2
2022-07-11,3
2022-07-18,1
2022-07-25,0
2022-08-01,2
2022-08-08,4
2022-08-15,0
2022-08-22,1
2022-08-29,3
2022-09-05,2
2022-09-12,3
2022-09-19,1
2022-09-26,0
2022-10-03,1
2022-10-10,4
2022-10-17,0
2022-10-24,2
2022-10-31,3
2022-11-07,8
2022-11-14,3
2022-11-21,5
2022-11-28,1
2022-12-05,4
2022-12-12,1
2022-12-19,4
2022-12-26,0
2023-01-02,1
2023-01-09,9
2023-01-16,7
2023-01-23,12
2023-01-30,5
2023-02-06,3
2023-02-13,3
2023-02-20,7
2023-02-27,2
2023-03-06,1
2023-03-13,0
2023-03-20,1
2023-03-27,13
2023-04-03,4
2023-04-10,2
2023-04-17,2
2023-04-24,5
2023-05-01,0
2023-05-08,2
2023-05-15,3
2023-05-22,3
2023-05-29,4
2023-06-05,2
2023-06-12,12
2023-06-19,6
2023-06-26,3
2023-07-03,1
2023-07-10,5
2023-07-17,2
2023-07-24,1
2023-07-31,8
2023-08-07,2
2023-08-14,0
2023-08-21,0
2023-08-28,5
2023-09-04,1
2023-09-11,2
2023-09-18,2
2023-09-25,3
2023-10-02,0
2023-10-09,0
2023-10-16,2
2023-10-23,1
2023-10-30,0
2023-11-06,0
2023-11-13,6
2023-11-20,2
2023-11-27,0
2023-12-04,3
2023-12-11,3
2023-12-18,0
2023-12-25,8
2024-01-01,1
2024-01-08,1
2024-01-15,7
2024-01-22,0
2024-01-29,2
2024-02-05,0
2024-02-12,1
2024-02-19,0
2024-02-26,8
2024-03-04,1
2024-03-11,1
2024-03-18,2
2024-03-25,1
2024-04-01,4
2024-04-08,4
2024-04-15,2
2024-04-22,3
2024-04-29,4
2024-05-06,0
2024-05-13,0
2024-05-20,1
2024-05-27,1
2024-06-03,1
2024-06-10,2
2024-06-17,2
2024-06-24,3
2024-07-01,5
2024-07-08,4
2024-07-15,6
2024-07-22,3
2024-07-29,1
2024-08-05,8
2024-08-12,0
2024-08-19,0
2024-08-26,4
2024-09-02,3
2024-09-09,2
2024-09-16,4
2024-09-23,1
2024-09-30,1
2024-10-07,2
2024-10-14,0
2024-10-21,3
2024-10-28,1
2024-11-04,0
2024-11-11,0
2024-11-18,1
2024-11-25,0
2024-12-02,0
2024-12-09,2
2024-12-16,0
2024-12-23,4
2024-12-30,2
2025-01-06,0
2025-01-13,0
2025-01-20,0
2025-01-27,2
2025-02-03,0
2025-02-10,0
2025-02-17,1
2025-02-24,0
2025-03-03,0
2025-03-10,1
2025-03-17,1
2025-03-24,1
2025-03-31,0
2025-04-07,0
2025-04-14,0
2025-04-21,1
2025-04-28,0
2025-05-05,1
2025-05-12,0
2025-05-19,0
2025-05-26,0
2025-06-02,0
2025-06-09,0
2025-06-16,1
2025-06-23,0
2025-06-30,0
2025-07-07,1
2025-07-14,0
2025-07-21,0
2025-07-28,1
2025-08-04,0
2025-08-11,0
2025-08-18,0
2025-08-25,0
2025-09-01,0
2025-09-08,1
2025-09-15,1
2025-09-22,1
2025-09-29,0
2025-10-06,0
2025-10-13,1
