title,votes,quorum,proposal_link
[FIP - 436] EchoMarket Growth Grant Proposal,10,370%,https://snapshot.box/#/s:frax.eth/proposal/0x49332b4740e4601177d066f0c1eadb3fb341c921a6a9d0ef07f629e34160de50
[FIP - 435] Allow the use of Stake DAO OnlyBoost for sfrxUSD Curve AMOs,12,390%,https://snapshot.box/#/s:frax.eth/proposal/0xe444d5453ef1b2332e8e5dcd2cceef1124f0b5f2b2c34bb6b966701ddbb44833
[TEMP-CHECK] Project Progress Tracking Platform for Frax Finance,9,393%,https://snapshot.box/#/s:frax.eth/proposal/0x5689d9d931357624929e5926d92f5ae13519ca3c6475fbe1ab85014d6f1daa16
[FIP - 434] sfrxUSD AMO Deployments & Future Strategies,14,394%,https://snapshot.box/#/s:frax.eth/proposal/0xf82c0687e36b14db012b74c2cda40405fc681635f83727117fb9045a835e8333
[FIP - 433] Add a new market into Fraxlend on Ethereum (OGN/frxUSD),8,404%,https://snapshot.box/#/s:frax.eth/proposal/0xa47fa2c7a757a078760ccea511978c7938171451c8036ebdc4992eb02a10dc39
[FIP-432] Transfer of Compliance & Collateral Management of frxUSD to FRAX Inc,8,409%,https://snapshot.box/#/s:frax.eth/proposal/0x261a34f3875479eff45fe653eb11e591fe94b908c80574dcaee880964cb4111a
[Revised FIP-431] dTRINITY x Frax Joint Expansion on Sonic,14,400%,https://snapshot.box/#/s:frax.eth/proposal/0x57bf925ac995c400e80cce5833c2e0cd13ae561969e51925df202cf8beaa70a5
[FIP-431] dTRINITY x Frax Joint Expansion on Sonic,7,0.897%,https://snapshot.box/#/s:frax.eth/proposal/0x5ec8b38df6b703b78e7561fbb8873783ae482953a97b6768ecbc0cea750bab60
[FIP - 430] Preparation for frxUSD Payment Stablecoin Charter Compliance,9,411%,https://snapshot.box/#/s:frax.eth/proposal/0x4c51c5899aaf0d243b410af24b7358decdfcc6216b63271268599bb4c1ef49a7
[FIP-429] Incentivize a joint Frax / Zivoe pool on Curve,18,151%,https://snapshot.box/#/s:frax.eth/proposal/0xfb512bdad61a0498f3b5413ba782f3e245308cb5df5a0f09c26c48b7dad6d613
[FIP - 428] Frax North Star Proposal - V2,38,424%,https://snapshot.box/#/s:frax.eth/proposal/0xc81e2268834ec1243e08c5d616c98c8e91e2304f7b38ee1d932f450efb18eb8a
[FIP - 427] WTGXX as reserve asset for Frax USD,17,503%,https://snapshot.box/#/s:frax.eth/proposal/0xb52b6bbd860e68ea141296868ad1558e814fd7fa21d394fe683643a16876d9f9
[FIP - 426] JTRSY as a Custodian Asset for frxUSD & Launching Centrifuge on Fraxtal,10,426%,https://snapshot.box/#/s:frax.eth/proposal/0x74e3ed37b97f58c0966097049ca0f7c4262891add7614287301006b691c3cbd2
[FIP - 425] AUSD as Collateral and Custodian Asset for frxUSD,12,432%,https://snapshot.box/#/s:frax.eth/proposal/0xe76fa4b9389e2956f71c077d84cfa40e172ea5022cef2097571eae36496ed636
[FIP - 424] Leviathan News Partnership Proposal,16,452%,https://snapshot.box/#/s:frax.eth/proposal/0xb025376d08b28e97a95b192fc7c90d99071737ff46491c36b272e61729352a43
[FIP - 423] Proposal to add a new pair to Fraxlend AMO (ynETH/frxETH),8,438%,https://snapshot.box/#/s:frax.eth/proposal/0x6525bce21e08810efe0f6ba2f67a0ad9c83957a1c8a94206e3fcdbaab54c148d
[FIP - 422] Proposal to add a new pair to Fraxlend AMO (ynETH/FRAX),8,438%,https://snapshot.box/#/s:frax.eth/proposal/0x3bace45658082ad97e99f7fa1e4109f2fddb91c120ee38dd4ff6ecddde481fbe
[FIP - 421] USTB as Collateral and Custodian Asset for frxUSD,53,519%,https://snapshot.box/#/s:frax.eth/proposal/0x2612007bb91ae6ccbc4d0160615e88ca544db7ebad38fde3506d4d8c3f7259ac
[FIP - 420] USCC as Collateral and Custodian Asset for frxUSD,59,520%,https://snapshot.box/#/s:frax.eth/proposal/0x26eec3914a507c3c8f3ed20a254a7c8ae85dc0136a765f4ea6148450d861fad9
[FIP - 419] Launch Frax USD & Provide Upgrade Path to Frax Stablecoin,57,520%,https://snapshot.box/#/s:frax.eth/proposal/0xb360e93cf73c4c66636f0b349ab8a2948c1319286895dc9719b8d2173c508bbb
[FIP - 418] BUIDL as a backing asset for Frax USD,86,546%,https://snapshot.box/#/s:frax.eth/proposal/0x77562982f577db75ad2392a84cd00e4e16d585ab3c97ce51229962b756842f15
[FIP - 417] Create new ynETH/frxETH Fraxlend Pair,8,0.0129%,https://snapshot.box/#/s:frax.eth/proposal/0x404cf3c7df30bd90e119ddfb9bcdd5a17e6dce394cc8f52cfd24a5d66c8efaec
[FIP - 416] Authorizing FRAX Curve AMO for a new pair on Fraxtal (FRAX/dUSD),15,446%,https://snapshot.box/#/s:frax.eth/proposal/0xe5cec17118983ef80f83d21765637a90f3140ed98bbab2d047feafa19b062d4f
[FIP - 415] Creating Frax Borrow AMO,13,468%,https://snapshot.box/#/s:frax.eth/proposal/0xbb3bd2c832dc915b11cdefbd229e273eaf05a9d90e03f91e4d35705679e1e142
[FIP - 414] Supply Liquidity for Ionic Protocol,12,426%,https://snapshot.box/#/s:frax.eth/proposal/0xc2c10aea2c1eaeb9bb67e4b7831c52b805bb764b4d7e7900874b2863794c7b19
[FIP -413] Liquidity Creation for sfrxETH/AsfrxETH Pair,6,0.0112%,https://snapshot.box/#/s:frax.eth/proposal/0x866a65b3afbc825ef644d03f6168a339ea180534d64594ef4ae6020c9f4cb320
[FIP - 412] Liquidity Creation for FRAX/AFRAX Pair,6,0.0112%,https://snapshot.box/#/s:frax.eth/proposal/0xc3918cc4a1c8bb63208f745690ed61805a5c4a2e8b9383b696e2dfe1b168e966
[FIP - 411] Liquidity Creation for FXS/AFXS Pair,6,0.0112%,https://snapshot.box/#/s:frax.eth/proposal/0x9aac39e7280819b3fcd8940e3141b1129b0c5cb4e80d58bc06b713e1eb1489ec
[FIP - 410] Update FXS Allocation on Symbiotic,12,431%,https://snapshot.box/#/s:frax.eth/proposal/0xf34df1c95441029b6c7a7c36ec086e8c986a724595b9e2ad30acdec1d5762f01
[FIP - 409] Karak Restaing AMO on Fraxtal,12,431%,https://snapshot.box/#/s:frax.eth/proposal/0x8491c78306a6c0b41783685aabb12c318302497944de4ef74051963967620ab8
Test Vote #2,12,433%,https://snapshot.box/#/s:frax.eth/proposal/0x85706913ec9797f19ce6dab4638a21761d43beab90fffaf662039c9eb764fed3
Fraxtal Test Vote,15,1.02%,https://snapshot.box/#/s:frax.eth/proposal/0x39e43756b133cc04eb2a5396c136b8d05ced96ba1946d3007e2efc3c7e25affd
[FIP - 408] Migrate the Snapshot voting process from the Ethereum mainnet to the Fraxtal network,11,397%,https://snapshot.box/#/s:frax.eth/proposal/0x60ce169bce5174b399fa09ccc35c14e692a6bb19229d5957e44940f58e89efbc
[FIP - 407] Allocate FXS to Symbiotic,8,397%,https://snapshot.box/#/s:frax.eth/proposal/0x4f973673cd658a7a003a084b9f4dcb6a9b0e4368f1948a38d3ee6094d37cb340
[FIP - 406] Allocate tBTC/WBTC towards the Convex Curve WBTC + tBTC pool,7,0.231%,https://snapshot.box/#/s:frax.eth/proposal/0xf63ea87427f46a11516955b0e6954a309e1daccec0eb4054b96de17f5dd24c83
[FIP - 405] Significantly downsize PyUSD Position,7,397%,https://snapshot.box/#/s:frax.eth/proposal/0x136f1ebca7c23a9bf1bf6523718531737aec4b2d735020d69c6530528e3111ab
[FIP - 404] Create new wBTC/sFRAX Fraxlend Pair,8,398%,https://snapshot.box/#/s:frax.eth/proposal/0xea1600c495d95ae7f32c7ef6c40654b9a2fe5d6291049ae6026248400f39c6e4
[FIP - 403] Create new sfrxEth/sFRAX Fraxlend Pair,6,398%,https://snapshot.box/#/s:frax.eth/proposal/0x007fcffc52504cce987c59124fb7c5d3f383ba539e6065634c2e32caea342618
[FIP - 402] Create new ETH+ Fraxlend pairs,8,23.2%,https://snapshot.box/#/s:frax.eth/proposal/0x69d344acb496f5afaa8f8aca882b1d5b803eb0bc8e6d417b1a488e520375e3db
[FIP - 401] Create a new Fraxlend pair (ENS/FRAX) on Ethereum Mainnet,6,399%,https://snapshot.box/#/s:frax.eth/proposal/0x9a5cc8393de064ae2260e8ad5a9d8ea784a1afe965ee3692b052afad84cacf19
[FIP - 400] Create a new Fraxlend pair (GRT/FRAX) on Ethereum Mainnet,5,399%,https://snapshot.box/#/s:frax.eth/proposal/0xe8634e7624343194160d221c2aeafae517b40644b1a7b09ea61c6a17589903a3
"[FIP - 399] A Frax Shopping Experience, Powered by Moso",10,404%,https://snapshot.box/#/s:frax.eth/proposal/0x34d771686cf04cb0b4c7787aa0d434a0986dca186e3ecbf0c8684b5ba419427e
[FIP-398] Frax AMO Integration on Morpho with USD0++/FRAX and Curve LP USD0/USD0++/FRAX as available markets,13,428%,https://snapshot.box/#/s:frax.eth/proposal/0xcdf89f15b222a0a8cd87d8f9706e2d378d61f0ba15039baaa8de29e97638ee12
[FIP - 397] Frax Finance Annual Budget Request (2024 - 2025),10,405%,https://snapshot.box/#/s:frax.eth/proposal/0x99fa92785d09d732ad89c34875976420d794f581f72ccfcc8ab6d9adf40ee8fd
[FIP - 396] Adding LFXB2027 as an Option for Locked Liquidity Exit,11,405%,https://snapshot.box/#/s:frax.eth/proposal/0xc46f5759b4684eb8cfd024344c3a9b43e5d5a16a203bc523ac3ee1e15b91376d
[FIP - 395] Add new market to Fraxlend (sfrxETH/USDC),9,409%,https://snapshot.box/#/s:frax.eth/proposal/0x0fdabb464587e8a6cab671745c111850a38891682523c7102d8f327d1055a49e
